name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pLDDT,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,LIpLDDT,cLIpLDDT_i,cLIpLDDT_j,cLIpLDDT,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j,structure_file
ABHD10___LSS,1,1,A,B,0.0000,0.0,0.0,0.0000,0.1836,0.0000,0.0000,0.0,0.0,0.1600,74.8,92.0,86.9,0.700,0,0,0,0,,,,,,,306,732,,,,,ABHD10___LSS_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb
ABHD10___LSS,2,3,A,B,0.0000,0.0,0.0,0.0000,0.1385,0.0000,0.0000,0.0,0.0,0.1500,75.8,91.2,86.7,0.700,0,0,0,0,,,,,,,306,732,,,,,ABHD10___LSS_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb
ABHD10___LSS,3,2,A,B,0.0000,0.0,0.0,0.0000,0.1373,0.0000,0.0000,0.0,0.0,0.1400,76.3,91.3,86.9,0.700,0,0,0,0,,,,,,,306,732,,,,,ABHD10___LSS_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
ABHD10___LSS,4,4,A,B,0.0000,0.0,0.0,0.0000,0.1342,0.0000,0.0000,0.0,0.0,0.1400,75.7,91.4,86.8,0.700,0,0,0,0,,,,,,,306,732,,,,,ABHD10___LSS_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb
ABHD10___LSS,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1359,0.0000,0.0000,0.0,0.0,0.1400,77.2,91.7,87.4,0.700,0,0,0,0,,,,,,,306,732,,,,,ABHD10___LSS_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb
ACTN4___SUPV3L1,1,1,A,B,0.0000,0.0,0.0,0.0000,0.3397,0.0000,0.0000,0.0,0.0,0.1900,72.3,72.8,72.5,0.420,0,0,0,0,,,,,,,911,786,,,,,ACTN4___SUPV3L1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb
ACTN4___SUPV3L1,2,4,A,B,0.0000,0.0,0.0,0.0000,0.4956,0.0065,0.0000,3.0,0.0,0.1800,68.2,74.5,71.1,0.440,3,1,0,0,76.3,27.2,64.0,,,,911,786,"[418,470,501]",[5],,,ACTN4___SUPV3L1_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb
ACTN4___SUPV3L1,3,5,A,B,0.0000,0.0,0.0,0.0000,0.2004,0.0000,0.0000,0.0,0.0,0.1700,72.9,73.9,73.4,0.450,0,0,0,0,,,,,,,911,786,,,,,ACTN4___SUPV3L1_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb
ACTN4___SUPV3L1,4,2,A,B,0.0000,0.0,0.0,0.0000,0.4346,0.0000,0.0000,0.0,0.0,0.1700,65.2,74.3,69.4,0.430,0,0,0,0,,,,,,,911,786,,,,,ACTN4___SUPV3L1_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb
ACTN4___SUPV3L1,5,3,A,B,0.0000,0.0,0.0,0.0000,0.1892,0.0000,0.0000,0.0,0.0,0.1600,73.2,73.1,73.2,0.440,0,0,0,0,,,,,,,911,786,,,,,ACTN4___SUPV3L1_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb
ACTR2___NBN,1,4,A,B,0.0000,0.0,0.0,0.0113,0.4445,0.0198,0.0000,48.0,0.0,0.4100,88.4,47.5,61.5,0.420,36,4,0,0,92.6,40.6,87.4,,,,394,754,"[156,164,169,179,181,183-185,188-189,210,214-215,222-223,242,245,251,253,255,257-262,265,268,271-272,282-283,289,297,302,311]","[708-710,720]",,,ACTR2___NBN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
ACTR2___NBN,2,1,A,B,0.0000,0.0,0.0,0.0000,0.3878,0.0000,0.0000,0.0,0.0,0.3300,86.3,47.4,60.8,0.420,0,0,0,0,,,,,,,394,754,,,,,ACTR2___NBN_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
ACTR2___NBN,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2777,0.0000,0.0000,0.0,0.0,0.2500,89.2,47.0,61.5,0.420,0,0,0,0,,,,,,,394,754,,,,,ACTR2___NBN_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
ACTR2___NBN,4,5,A,B,0.0000,0.0,0.0,0.0000,0.2638,0.0000,0.0000,0.0,0.0,0.2200,90.3,46.9,61.8,0.410,0,0,0,0,,,,,,,394,754,,,,,ACTR2___NBN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
ACTR2___NBN,5,3,A,B,0.0000,0.0,0.0,0.0000,0.2058,0.0000,0.0000,0.0,0.0,0.2200,89.0,46.3,61.0,0.410,0,0,0,0,,,,,,,394,754,,,,,ACTR2___NBN_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb
ACTR2___STIP1,1,3,A,B,0.0000,0.0,0.0,0.0000,0.1884,0.0000,0.0000,0.0,0.0,0.2100,89.2,79.3,83.5,0.470,0,0,0,0,,,,,,,394,543,,,,,ACTR2___STIP1_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
ACTR2___STIP1,2,2,A,B,0.0000,0.0,0.0,0.0000,0.1738,0.0000,0.0000,0.0,0.0,0.1900,88.4,79.6,83.3,0.460,0,0,0,0,,,,,,,394,543,,,,,ACTR2___STIP1_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb
ACTR2___STIP1,3,1,A,B,0.0000,0.0,0.0,0.0000,0.1662,0.0000,0.0000,0.0,0.0,0.1900,88.0,77.8,82.1,0.470,0,0,0,0,,,,,,,394,543,,,,,ACTR2___STIP1_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb
ACTR2___STIP1,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1426,0.0000,0.0000,0.0,0.0,0.1800,88.8,79.0,83.1,0.460,0,0,0,0,,,,,,,394,543,,,,,ACTR2___STIP1_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
ACTR2___STIP1,5,4,A,B,0.0000,0.0,0.0,0.0000,0.1423,0.0000,0.0000,0.0,0.0,0.1700,87.8,76.9,81.5,0.460,0,0,0,0,,,,,,,394,543,,,,,ACTR2___STIP1_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb
BUB3___SETD1A,1,2,A,B,0.3552,523.3,185.9,0.2363,0.9379,0.2485,0.5078,4722.0,58.0,0.7300,91.0,30.3,40.1,0.320,322,15,12,9,91.8,52.9,90.1,93.2,64.0,80.7,328,1707,"[4-126,129-327]",[577-591],"[202,219-223,261,266-270]","[578,580-586,588]",BUB3___SETD1A_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb
BUB3___SETD1A,2,3,A,B,0.2662,1089.8,290.2,0.2009,0.9006,0.1945,0.3645,7971.0,149.0,0.7200,89.3,29.9,39.5,0.340,320,30,35,21,90.5,52.6,87.3,86.2,57.5,75.4,328,1707,[6-325],"[70-87,579-590]","[35,58,75,181,183,199-200,202,218-223,230-236,238,254,261,266-269,278,298-303]","[72-82,86-87,580-586,589]",BUB3___SETD1A_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb
