name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,cLIpLDDT_i,cLIpLDDT_j,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j,structure_file
EDC3___PDXDC1,1,5,A,B,0.1893,518.1,98.1,0.0517,0.8241,0.1080,0.3318,9255.0,29.0,0.4000,60.3,71.8,0.580,221,162,11,7,92.1,83.8,80.3,63.3,508,788,"[260-264,270-275,277-320,335-435,437-447,452-468,470-506]","[15-17,19-32,40-85,89-101,103,109,111-130,136,139-144,147-150,153,156,176,192-193,222-223,225-227,255,257-259,261,263,266,276-277,298,300-301,305-310,313,322-325,337,340,342-346,350-355,357-359,361-363,464]","[343-344,371-373,375,415-416,418-419,421]","[43,45-50]",EDC3___PDXDC1_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb
EDC3___PDXDC1,2,1,A,B,0.0000,0.0,0.0,0.0000,0.4367,0.0125,0.0000,6.0,0.0,0.3000,59.6,71.1,0.520,5,3,0,0,92.7,54.4,,,508,788,"[341,346,379,410,429]","[44,46-47]",,,EDC3___PDXDC1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
EDC3___PDXDC1,3,4,A,B,0.0000,0.0,0.0,0.0000,0.2438,0.0000,0.0000,0.0,0.0,0.2200,57.7,70.3,0.530,0,0,0,0,,,,,508,788,,,,,EDC3___PDXDC1_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb
EDC3___PDXDC1,4,3,A,B,0.0000,0.0,0.0,0.0000,0.1454,0.0000,0.0000,0.0,0.0,0.1500,58.5,70.3,0.500,0,0,0,0,,,,,508,788,,,,,EDC3___PDXDC1_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb
EDC3___PDXDC1,5,2,A,B,0.0000,0.0,0.0,0.0000,0.1453,0.0000,0.0000,0.0,0.0,0.1500,59.2,70.8,0.500,0,0,0,0,,,,,508,788,,,,,EDC3___PDXDC1_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
EPB41___XPNPEP1,1,4,A,B,0.0000,0.0,0.0,0.0000,0.1862,0.0000,0.0000,0.0,0.0,0.2000,43.7,92.8,0.490,0,0,0,0,,,,,864,623,,,,,EPB41___XPNPEP1_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
EPB41___XPNPEP1,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2421,0.0000,0.0000,0.0,0.0,0.1900,45.0,93.1,0.490,0,0,0,0,,,,,864,623,,,,,EPB41___XPNPEP1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
EPB41___XPNPEP1,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2411,0.0000,0.0000,0.0,0.0,0.1900,44.5,93.8,0.490,0,0,0,0,,,,,864,623,,,,,EPB41___XPNPEP1_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
EPB41___XPNPEP1,4,3,A,B,0.0000,0.0,0.0,0.0000,0.1691,0.0000,0.0000,0.0,0.0,0.1700,44.8,93.3,0.490,0,0,0,0,,,,,864,623,,,,,EPB41___XPNPEP1_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb
EPB41___XPNPEP1,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1797,0.0000,0.0000,0.0,0.0,0.1600,44.3,94.0,0.490,0,0,0,0,,,,,864,623,,,,,EPB41___XPNPEP1_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb
GNAI3___ACTR2,1,4,A,B,0.0000,0.0,0.0,0.0000,0.1199,0.0000,0.0000,0.0,0.0,0.1500,82.1,87.8,0.550,0,0,0,0,,,,,354,394,,,,,GNAI3___ACTR2_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
GNAI3___ACTR2,2,2,A,B,0.0000,0.0,0.0,0.0000,0.1416,0.0000,0.0000,0.0,0.0,0.1500,84.3,88.6,0.550,0,0,0,0,,,,,354,394,,,,,GNAI3___ACTR2_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb
GNAI3___ACTR2,3,3,A,B,0.0000,0.0,0.0,0.0000,0.1130,0.0000,0.0000,0.0,0.0,0.1400,80.8,88.6,0.540,0,0,0,0,,,,,354,394,,,,,GNAI3___ACTR2_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb
GNAI3___ACTR2,4,1,A,B,0.0000,0.0,0.0,0.0000,0.1241,0.0000,0.0000,0.0,0.0,0.1400,82.0,86.5,0.530,0,0,0,0,,,,,354,394,,,,,GNAI3___ACTR2_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb
GNAI3___ACTR2,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1137,0.0000,0.0000,0.0,0.0,0.1300,84.2,88.8,0.540,0,0,0,0,,,,,354,394,,,,,GNAI3___ACTR2_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb
GNAI3___PDXDC1,1,1,A,B,0.0000,0.0,0.0,0.0000,0.1758,0.0000,0.0000,0.0,0.0,0.2000,81.2,69.0,0.540,0,0,0,0,,,,,354,788,,,,,GNAI3___PDXDC1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb
